NCTNumber,InterventionDescription,impurity,clean_text
NCT06036238,"The Healthy Living Intervention (HLI) is a brief alcohol counseling intervention developed using the Information, Motivation, and Behavioral skills (IMB) model, a framework in which information, motivation, and behavioral skills are key determinants of health behavior. Participants initiating PrEP will be randomized to either HLI or standard of care alcohol counseling.",0.0,"The Healthy Living Intervention HLI is a brief alcohol counseling intervention developed using the Information, Motivation, and Behavioral skills IMB model, a framework in which information, motivation, and behavioral skills are key determinants of health behavior. Participants initiating PrEP will be randomized to either HLI or standard of care alcohol counseling."
NCT05882916,Oral fluid-based HIV self-test kits for secondary distribution,0.0,Oral fluid-based HIV self-test kits for secondary distribution
NCT05862857,Patrons and employees of drinking venues that are randomized to HIV-focused recruitment will receive a recruitment card offering free HIV testing at the local clinic,0.0,Patrons and employees of drinking venues that are randomized to HIV-focused recruitment will receive a recruitment card offering free HIV testing at the local clinic
NCT05845619,"The pilot intervention will include the following components:

More frequent viral load collection: Participants who enroll in the first 3 months of the pilot study period will be eligible for a 3-month follow-up visit and will have viral load assessed again at that time.
Rapid return of viral load results: Mentor mothers (peer counselors) will be trained to return viral load results to patients. Viral loads will will be processed with GeneXpert point of care technology.
Enhanced viral load counseling: Mentor mothers will reinforce adherence with all patients with undetectable levels via scripted messaging to reward and encourage healthy behavior. For those with any detectable levels, mentor mothers will be trained to provide targeted counseling with scripted messaging according to viral load level (undetectable, low-level viremia (50-1000), high viral load (>1000)).",0.0011376564277588168,"The pilot intervention will include the following components More frequent viral load collection Participants who enroll in the first  months of the pilot study period will be eligible for a -month follow-up visit and will have viral load assessed again at that time. Rapid return of viral load results Mentor mothers peer counselors will be trained to return viral load results to patients. Viral loads will will be processed with GeneXpert point of care technology. Enhanced viral load counseling Mentor mothers will reinforce adherence with all patients with undetectable levels via scripted messaging to reward and encourage healthy behavior. For those with any detectable levels, mentor mothers will be trained to provide targeted counseling with scripted messaging according to viral load level undetectable, low-level viremia -, high viral load >."
NCT05842122,"Services delivered: 1) behavioral HIV risk assessment (+ counseling), 2) PrEP/PEP medical safety assessment, 3) HIV testing, and 4) PrEP (30-day supply at initiation; 90-day supply at refill visits) or PEP dispensing (28-day supply) among those determined eligible.
Service provider(s): pharmacists or pharmaceutical technologist trained on PrEP/PEP service delivery
Cost to client: 250 KES per pharmacy PrEP/PEP visit
Payment to pharmacy:* 0 KES per pharmacy PrEP/PEP visit *Pharmacies paid by the research team (i.e., the ""implementer"" in this trial)",0.0,"Services delivered  behavioral HIV risk assessment + counseling,  PrEP/PEP medical safety assessment,  HIV testing, and  PrEP -day supply at initiation -day supply at refill visits or PEP dispensing -day supply among those determined eligible. Service providers pharmacists or pharmaceutical technologist trained on PrEP/PEP service delivery Cost to client  KES per pharmacy PrEP/PEP visit Payment to pharmacy*  KES per pharmacy PrEP/PEP visit *Pharmacies paid by the research team i.e., the ""implementer"" in this trial"
NCT05768763,"We will conduct a series of community engagement activities designed to reach persons at risk for HIV, undiagnosed with HIV or diagnosed, or hypertension, and fallen out of care working closely with community health system, leveraging existing mobile outreaches in the community.",0.0,"We will conduct a series of community engagement activities designed to reach persons at risk for HIV, undiagnosed with HIV or diagnosed, or hypertension, and fallen out of care working closely with community health system, leveraging existing mobile outreaches in the community."
NCT05736588,"Elimisha HPV is a multi-level stigma-responsive cervical cancer prevention service delivery model that incorporates stigma-responsive education, peer navigation and a patient-centered delivery strategy, addressing drivers while mitigating harms from stigma.",0.0,"Elimisha HPV is a multi-level stigma-responsive cervical cancer prevention service delivery model that incorporates stigma-responsive education, peer navigation and a patient-centered delivery strategy, addressing drivers while mitigating harms from stigma."
NCT05634265,"The Vijana-SMART intervention is a facilitated peer group, delivered through WhatsApp. Intervention messages were developed based on findings from formative interviews and social support theory, which posits that individuals experience social support through informational, instrumental, companionship and emotional forms. Groups will have approximately 25 members and will be facilitated by a study team member, by sending weekly scheduled messages, answering participant questions, and encouraging group discussion. Intervention messages were designed based on guidance from formative interviews; topics include ART adherence, medication side effects, nutritional practices, depression, social support, HIV status disclosure, stigma, positive prevention, substance use, and contraception.",0.0,"The Vijana-SMART intervention is a facilitated peer group, delivered through WhatsApp. Intervention messages were developed based on findings from formative interviews and social support theory, which posits that individuals experience social support through informational, instrumental, companionship and emotional forms. Groups will have approximately  members and will be facilitated by a study team member, by sending weekly scheduled messages, answering participant questions, and encouraging group discussion. Intervention messages were designed based on guidance from formative interviews topics include ART adherence, medication side effects, nutritional practices, depression, social support, HIV status disclosure, stigma, positive prevention, substance use, and contraception."
NCT05599581,"Tu'Washindi consists of 3 primary components:

PrEP Adherence Support Clubs: Eight 2-hour sessions that occur over the intervention period: twice per month for the first 2 months & once per month for the remaining 4 months. Sessions will use structured & unstructured activities designed to improve outcomes expectations, increase self-efficacy to use PrEP safely & consistently, increase peer support for PrEP use, provide access to community IPV resources & provide skills for healthy communication & PrEP disclosure with male partners.
Community Male Sensitization conducted weekly over the first 3 months of the intervention period aimed to increase PrEP knowledge, reduce stigma, & promote healthy relationship communication.
Buddy Days, which take place 3 months into the intervention period, designed to bring participants & their male partners together to learn about PrEP, discuss community attitudes & concerns regarding PrEP use, & promote HIV prevention & family well-being.",0.010141987829614604,"Tu'Washindi consists of  primary components PrEP Adherence Support Clubs Eight -hour sessions that occur over the intervention period twice per month for the first  months once per month for the remaining  months. Sessions will use structured unstructured activities designed to improve outcomes expectations, increase self-efficacy to use PrEP safely consistently, increase peer support for PrEP use, provide access to community IPV resources provide skills for healthy communication PrEP disclosure with male partners. Community Male Sensitization conducted weekly over the first  months of the intervention period aimed to increase PrEP knowledge, reduce stigma, promote healthy relationship communication. Buddy Days, which take place  months into the intervention period, designed to bring participants their male partners together to learn about PrEP, discuss community attitudes concerns regarding PrEP use, promote HIV prevention family well-being."
NCT05545449,"Five PrEP peer mentors will provide outreach, education, and referral for HIV pre-exposure prophylaxis. Peer mentors have received training on HIV, PrEP, family planning, adolescent development, peer support, and action planning. Interactions will include 1:1 informal interactions as well as planned group outreach interactions.",0.0,"Five PrEP peer mentors will provide outreach, education, and referral for HIV pre-exposure prophylaxis. Peer mentors have received training on HIV, PrEP, family planning, adolescent development, peer support, and action planning. Interactions will include  informal interactions as well as planned group outreach interactions."
