NCTNumber,LeadSponsorName,InterventionDescription,BaselineMeasurePopulationDescription,DesignInterventionModelDescription,InterventionName,PrimaryOutcomeDescription
NCT05882916,Sue Napierala,Oral fluid-based HIV self-test kits for secondary distribution,,Cluster-randomized trial,HIV self-testing,The count of adult men from intervention versus control clusters who completed an HIV test at the clinic within the 5-month intervention period.
NCT05862857,"University of California, San Francisco",Patrons and employees of drinking venues that are randomized to HIV-focused recruitment will receive a recruitment card offering free HIV testing at the local clinic,,,HIV-focused mobilization,"The proportion of HIV-negative adults, receiving an Aim 1 recruitment card, who initiate PrEP or PEP after mobilization. This outcome will be measured by pill dispensing records and Ministry of Health (MoH) PrEP and PEP registry records."
NCT05845619,"University of California, San Francisco","The pilot intervention will include the following components:

More frequent viral load collection: Participants who enroll in the first 3 months of the pilot study period will be eligible for a 3-month follow-up visit and will have viral load assessed again at that time.
Rapid return of viral load results: Mentor mothers (peer counselors) will be trained to return viral load results to patients. Viral loads will will be processed with GeneXpert point of care technology.
Enhanced viral load counseling: Mentor mothers will reinforce adherence with all patients with undetectable levels via scripted messaging to reward and encourage healthy behavior. For those with any detectable levels, mentor mothers will be trained to provide targeted counseling with scripted messaging according to viral load level (undetectable, low-level viremia (50-1000), high viral load (>1000)).",,Pilot study participants will be compared to historical controls.,Enhanced virologic monitoring,"Plasma HIV RNA <50 copies/mL. Data will be collected from clinical records. If >1 viral load is collected during the time frame below, the first will be used."
NCT05842122,Fred Hutchinson Cancer Center,"Services delivered: 1) behavioral HIV risk assessment (+ counseling), 2) PrEP/PEP medical safety assessment, 3) HIV testing, and 4) PrEP (30-day supply at initiation; 90-day supply at refill visits) or PEP dispensing (28-day supply) among those determined eligible.
Service provider(s): pharmacists or pharmaceutical technologist trained on PrEP/PEP service delivery
Cost to client: 250 KES per pharmacy PrEP/PEP visit
Payment to pharmacy:* 0 KES per pharmacy PrEP/PEP visit *Pharmacies paid by the research team (i.e., the ""implementer"" in this trial)",,"The study is a cluster-randomized control trial followed by concurrent maintenance and modification phases. In the cluster-randomized control trial, the intervention will be introduced in a parallel fashion (i.e., all pharmacies assigned a given intervention will receive the intervention at the start of the trial).",Pharmacy PrEP/PEP for a fee,"Number of participants that initiated (i.e., were dispensed) PrEP at the pharmacy/clinic within 60 days of initial pharmacy-based screening, among those screened and found eligible for pharmacy-delivered PrEP services"
NCT05768763,"University of California, San Francisco","We will conduct a series of community engagement activities designed to reach persons at risk for HIV, undiagnosed with HIV or diagnosed, or hypertension, and fallen out of care working closely with community health system, leveraging existing mobile outreaches in the community.",,"In the ""evaluation"" Phase B, the SEARCH SAPPHIRE study will evaluate the effects of Dynamic Prevention and Dynamic Treatment intervention packages based on data from Phase A (NCT04810650) and new advances from outside the study delivered in a precision community health model, on HIV incidence and other health outcomes, in a pair-matched community randomized design.",Community-enhanced reach activities,HIV incidences per 100 person-year
NCT05634265,University of Washington,"The Vijana-SMART intervention is a facilitated peer group, delivered through WhatsApp. Intervention messages were developed based on findings from formative interviews and social support theory, which posits that individuals experience social support through informational, instrumental, companionship and emotional forms. Groups will have approximately 25 members and will be facilitated by a study team member, by sending weekly scheduled messages, answering participant questions, and encouraging group discussion. Intervention messages were designed based on guidance from formative interviews; topics include ART adherence, medication side effects, nutritional practices, depression, social support, HIV status disclosure, stigma, positive prevention, substance use, and contraception.",,Single-group pilot,Vijana-SMART,Self-reported score on abbreviated Lifewindows IMB instrument
NCT05599581,RTI International,"Tu'Washindi consists of 3 primary components:

PrEP Adherence Support Clubs: Eight 2-hour sessions that occur over the intervention period: twice per month for the first 2 months & once per month for the remaining 4 months. Sessions will use structured & unstructured activities designed to improve outcomes expectations, increase self-efficacy to use PrEP safely & consistently, increase peer support for PrEP use, provide access to community IPV resources & provide skills for healthy communication & PrEP disclosure with male partners.
Community Male Sensitization conducted weekly over the first 3 months of the intervention period aimed to increase PrEP knowledge, reduce stigma, & promote healthy relationship communication.
Buddy Days, which take place 3 months into the intervention period, designed to bring participants & their male partners together to learn about PrEP, discuss community attitudes & concerns regarding PrEP use, & promote HIV prevention & family well-being.",,Cluster-randomized controlled trial,Tu'Washindi,"% of all study participants with biomarker tenofovir-diphosphate (TFVdp) levels indicating consistent PrEP use (≥4 doses per week) for the past 2 months measured as concentrations in dried blood spots (DBS). Represents a composite outcome of PrEP initiation, persistence, and high execution to capture these key steps in the HIV prevention continuum."
NCT05545449,Indiana University,"Five PrEP peer mentors will provide outreach, education, and referral for HIV pre-exposure prophylaxis. Peer mentors have received training on HIV, PrEP, family planning, adolescent development, peer support, and action planning. Interactions will include 1:1 informal interactions as well as planned group outreach interactions.",,,PrEP Peer Mentor Program,"AMPATH has an electronic medical records system that includes all clinics in the AMPATH network. There are designated EMR PrEP forms that are completed by clinicians. These include demographic and behavioral information, and whether PrEP was started. Visits for PrEP initiation and maintenance among 15-24 year olds will be selected and counts by age, clinic, and PrEP prescriptions will be abstracted."
NCT05467306,University of Washington,"Pharmacies randomized to the nurse-navigator model will receive tailored support counseling, in addition to receipt of standard PrEP services. Support counseling by nurse-navigators will provide educational messaging tailored to AGYW and actionable advice targeting PrEP persistence and adherence and/or FP topics, and will address participants' questions related to the content. Counseling will include adherence encouragement (IMB domain: motivation), PrEP efficacy and safety (IMB domain: information), self-efficacy for prevention of HIV, support for potential PrEP side effects, behavioral skills (tips for remembering PrEP medications, IMB domain: behavioral skills) and strategies for remembering PrEP refill schedules. During enrollment, the nurse-navigator will explain that support counseling is voluntary and that the nurse will also be available at the pharmacy to address concerns or questions whenever they arise outside of scheduled visits.",,,Nurse-Navigator Enhanced PrEP Support,"Binary endpoint (Yes/No) based on self-reported use of daily oral PrEP pills or the DPV-VR at 1-month follow-up after acceptance at enrollment. Self-reported PrEP use will be considered initiation. If a participant declined PrEP at enrollment or reported not using PrEP after acceptance, the participant will be considered non-initiated"
NCT05383755,Pacific Institute for Research and Evaluation,"The newly developed digital intervention will include SMS for reminder purposes and Web-based components such as virtual simulations, gamified elements, and didactic content to educate and build relevant skills (e.g., disclosure self-efficacy) to facilitate social support from caregiving family members. The intervention will (1) raise awareness about the intersecting stigmas of HIV and pregnancy; (2) highlight the effects of these stigmas on disclosure and social support; and (3) increase self-efficacy and communication skills for disclosure and enlistment of family members as social support allies. The goal of the intervention is to improve PMTCT engagement among pregnant unmarried ALHIV. Our theory-informed Web-based intervention will be use 3C Institute's Dynamic e-Learning Platform (DeLP), a customizable software platform that implements the evidence-based cognitive theory of multimedia learning (CTML) to effectively engage users.",,"The newly developed digital intervention will include SMS for reminder purposes and Web-based components such as virtual simulations, gamified elements, and didactic content to educate and build relevant skills (e.g., disclosure self-efficacy) to facilitate social support from caregiving family members. The intervention will (1) raise awareness about the intersecting stigmas of HIV and pregnancy; (2) highlight the effects of these stigmas on disclosure and social support; and (3) increase self-efficacy and communication skills for disclosure and enlistment of family members as social support allies. The goal of the intervention is to improve PMTCT engagement among pregnant unmarried ALHIV. Our theory-informed Web-based intervention will use 3C Institute's Dynamic e-Learning Platform (DeLP), a customizable software platform that implements the evidence-based cognitive theory of multimedia learning (CTML) to effectively engage users.",Digital intervention for pregnant adolescents living with HIV,"Qualitative data of participant reactions and field staff notes collected during the intervention session; self-report survey items assessing acceptability of the intervention (e.g., ""How satisfied were you with the intervention activities?;"" Response categories: ""Very satisfied,"" ""mostly satisfied,"" ""indifferent"" ""mostly dissatisfied,"" ""very dissatisfied"")."
